Name/ID,Vertical,Industry,EmployeeQuantityGrowthRate,SalesTurnoverGrowthRate,PriorYearEmployees,PriorYearRevenue,SalesVolume,SmallBusiness,Delinquency  Rate
37092,State/Local Government,Government,0,0,3,223407.0742,223407.0742,Y,0
37269,Finance,Finance,0,-0.05048,837,226152352.9,214736251.4,N,Low Risk
37324,Manufacturing,Energy & Manufacturing,0,1.829425,60,6307964.448,17847912.31,Y,Low Risk
37348,Internet Content & Software,Media & Content,0,0,0,0,0,N,0
37399,Cloud Service Provider,Data Center & Cloud Services,1.4,1.109042,25,4205309.632,8869175.425,Y,Low Risk
37833,Healthcare,Healthcare,0,0.29137,2000,173074774.5,223503596.6,N,Low Risk
37960,Internet Content & Software,Media & Content,0,0,0,0,0,N,0
37981,Real Estate / Construction,Other Enterprise,0,0.862342,21,2365486.668,4405344.384,Y,Low Risk
38096,Cloud Service Provider,Data Center & Cloud Services,0,0.421053,4,249690.2594,354823.0002,Y,Low Risk
38359,Consulting / Other Professional Services,Professional Services,0,0,1,144557.5186,144557.5186,Y,M
38428,Finance,Finance,-1,-1,3,157699.1112,0,N,Low Risk
38447,Finance,Finance,0,0.029412,4,446814.1484,459955.741,Y,Low Risk
38626,Media,Media & Content,0,0,0,0,17459942.27,Y,0
38705,Consulting / Other Professional Services,Professional Services,0,0,2,210265.4816,210265.4816,Y,0
38718,Colo/Hosting,Data Center & Cloud Services,0,0,2,144557.5186,144557.5186,Y,Low Risk
38899,Healthcare,Healthcare,0,0.022727,18,1156460.149,1182743.334,Y,Low Risk
39284,Higher Education,Research & Education,0,1.265267,53,3416814.076,7739995.909,Y,High Risk
39448,Non-Healthcare Insurance,Other Enterprise,0,0,240,328539815,328539815,N,Low Risk
39450,Retail,Other Enterprise,0,-0.010286,1135,335636275,332183881.4,N,Low Risk
39534,Consulting / Other Professional Services,Professional Services,0,-0.090909,1,144557.5186,131415.926,Y,High Risk
39569,Legal,Professional Services,0,0.381319,90,11827433.34,16337463.65,Y,Low Risk
39837,Internet Content & Software,Media & Content,0,0,0,0,122325.8864,N,Low Risk
39956,Cloud Service Provider,Data Center & Cloud Services,0,0,0,0,105621.608,N,Low Risk
40039,Consulting / Other Professional Services,Professional Services,0.070833,0.080521,2400,736000150.2,795263476.2,N,Low Risk
40224,Retail,Other Enterprise,-0.212851,-0.137891,249000,47556795301,40999140593,N,Low Risk
40240,Internet Content & Software,Media & Content,0,0,15,788495.556,788495.556,Y,Low Risk
40294,Healthcare,Healthcare,0,0,0,0,5640965.544,Y,Low Risk
40488,Healthcare,Healthcare,0,0.514867,3700,410674768.8,622117518.9,N,Low Risk
40505,Media,Media & Content,0,3.270054,4300,601884941.1,2570080939,N,Low Risk
40673,Regional Carrier/ISP,Telecommunications,0,3.108496,15,2102654.816,8638749.427,Y,Low Risk
40699,VOIP/VSP,Telecommunications,0,0,0,0,0,N,Low Risk
40783,,,0,0,2,144557.5186,144557.5186,Y,0
40980,Consulting / Other Professional Services,Professional Services,-0.088312,-0.027994,15400,2226576092,2164245518,N,M
40985,Internet Content & Software,Media & Content,0,0.012658,1,103818.5815,105132.7408,Y,Low Risk
41223,Retail,Other Enterprise,0,0,0,0,0,N,0
41690,Healthcare,Healthcare,0,5.097284,25,1971238.89,12019203.34,N,High Risk
41795,Manufacturing,Energy & Manufacturing,-0.04918,0.006061,18300,7480851588,7526190082,N,Low Risk
41991,Consulting / Other Professional Services,Professional Services,0,0,3,249690.2594,249690.2594,Y,High Risk
42010,Reseller,Telecommunications,0,0,0,0,943846.2646,N,High Risk
42094,RLEC,Telecommunications,0,1.97408,70,13010176.67,38693306.24,Y,Low Risk
42130,Finance,Finance,0,0.022727,6,578230.0744,591371.667,Y,Low Risk
42157,National Carrier/ISP,Telecommunications,0,0,51,20238052.6,20238052.6,Y,Low Risk
42274,State/Local Government,Government,-0.995058,0,11735,0,0,N,Low Risk
42296,Internet Content & Software,Media & Content,0,0,6,101190.263,101190.263,Y,Low Risk
42510,Engineering,Professional Services,0.15625,0.14803,64,21307076.48,24461155.95,Y,Low Risk
42744,Colo/Hosting,Data Center & Cloud Services,0,0,2,197123.889,197123.889,Y,M
42978,Transportation,Other Enterprise,0,0,0,0,0,N,M
43118,RLEC,Telecommunications,0,0.063134,200,78780380.88,83754086.01,Y,Low Risk
43124,Higher Education,Research & Education,0,0,2600,0,272720298.5,N,Low Risk
43155,Internet Content & Software,Media & Content,0,0.113636,6,578230.0744,643938.0374,Y,Low Risk
43158,Cloud Service Provider,Data Center & Cloud Services,0,0.047497,100,15375663.34,16105957.41,N,Low Risk
